SL,Class /Tag,Pattterns,Responses
46,online_admission,Do candidates apply online?,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
,admission_transfer_student,admission for transfer students,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
47,admission_transfer_student,What is the admission criteria For Transfer Students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
48,admission_transfer_student,What are the admission requirements for transfer students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
49,admission_transfer_student,What are the entrance requirements for transfer students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
50,admission_transfer_student,What are the admission criteria for transferees?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
51,admission_transfer_student,What are the eligibility criteria for transfer students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
52,admission_transfer_student,Is the application process the same for transfer students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
53,admission_transfer_student,Is there a similar application process for transfer students?,"Credit transfer students from other universities are also considered for admission, however their application is considered case by case, taking into account their previous results and track record and also must pass the admission test if the department requires. The minimum GPA for a course is “B” to be considered as transferable. A transfer student must complete 50% of the required total credit hour in the university to be eligible for a degree from UAP.

For a student who has a study gap of more than two years prior to her/his application for admission is advised to contact directly to the admission office."
54,admission_international_student,What is the admission criteria For international Students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
55,admission_international_student,What are the admission requirements for international students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
56,admission_international_student,What are the entrance requirements for international students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
58,admission_international_student,What are the eligibility criteria for international students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
59,admission_international_student,Is the application process the same for international students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
,admission_international_student,admission for international students,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
60,admission_international_student,Is there a similar application process for international students?,"It is necessary for a prospective student from abroad to demonstrate commitment and readiness to operate in a different cultural context. The selection process is relatively similar, with options of submitting the necessary documents online. All documents must be translated in English and attested by legal authorities. The applicant must fulfill if the department asks for some special documents (i/e Portfolio, recommendation letter etc.) or interview (via Skype or telephone). For further information please contact directly to the links below.
"
,admission_requirement_undergarudate,admission requirement,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
,admission_requirement_undergarudate,cse admission requirements,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
,admission_requirement_undergarudate,undergraduate admission requirements,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
,admission_requirement_undergarudate,admission needs,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
61,admission_requirement_undergarudate,What are the requirements to apply for CSE in Undergraduate level?,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
62,admission_requirement_undergarudate,What are the requirements to apply for CSE at undergraduate level?,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
63,admission_requirement_undergarudate,What are your undergraduate CSE requirements?,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
64,admission_reuirement_undergarudate,What are the entry-level CSE requirements?,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
65,admission_requirement_undergarudate,What are the requirements of undergraduate CSEs?,"Minimum GPA Requirements:
Total GPA in SSC & HSC = 7.50
Total GPA in O & A level=7.50
(Candidates with minimum GPA of 2.5 in five subjects in O level and two subjects in A level).

Subject Requirements:
Students must have Physics, Mathematics in HSC (or equivalent) and Chemistry either in SSC or HSC (or equivalent)."
,admission_requirement_garudate,masters admission requirements,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
,admission_requirement_garudate,graduation admission requirements,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
66,admission_requirement_garudate,What are the requirements to apply for CSE in graduate level?,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
67,admission_requirement_garudate,What are the requirements to apply for CSE at graduate level?,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
68,admission_requirement_garudate,What are your graduate CSE requirements?,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
69,admission_requirement_garudate,What are the post-level CSE requirements?,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
70,admission_requirement_garudate,What are the requirements of graduate CSEs?,"SSC, HSC & Graduation Requirements
One 1st class/ 1st Division
50% Marks or CGPA 2.50 out of 4.00 in B. Sc Engineering
Must not have 3rd Division/ class in any public examination"
71,,,
72,dept_head,Who is the department Head ?,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
73,dept_head,Who's in charge here?,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
74,dept_head,Who's in charge of the department?,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
75,dept_head,Who is the head of service?,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
76,dept_head,Department Head ,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
,dept_head,Head of department,Dr. Md. Rajibul Islam Is the head of department of Computer Science and Engineering .For more details please visit https://cse.uap-bd.edu/faculty/faculty_details/1
,dept_faculty,faculty members,"We have many faculty members with us. To learn more, visit https://cse.uap-bd.edu/faculty/faculties_list/"
,dept_faculty,cse department teachers,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
,dept_faculty,faculty,"We have many faculty members with us. To learn more, visit https://cse.uap-bd.edu/faculty/faculties_list/"
,dept_faculty,our faculty,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
,dept_faculty,CSE teachers,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
77,dept_faculty,What are the faculty members of CSE?,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
78,dept_faculty,Whom are the CSE faculty members?,"We have many faculty members with us. To learn more, visit https://cse.uap-bd.edu/faculty/faculties_list/"
79,dept_faculty,Who are the CSE teachers?,"We have lots of professors with us. For more information, visit https://cse.uap-bd.edu/faculty/faculties_list/"
80,dept_faculty,Who are the CSE professors?,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
81,dept_faculty,Who are CSE's academic staff?,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
82,dept_faculty,Who are the faculty at CSE?,We have a good number of faculty with us .For more details visit https://cse.uap-bd.edu/faculty/faculties_list/
83,,,
84,class_routine,How do I find the CSE classroom routine?,Here you can find all the Class routine .Visit https://cse.uap-bd.edu/routine/classroutine/
85,class_routine,Where can i find class routine of CSE ?,Here you can find all the Class routine .Visit https://cse.uap-bd.edu/routine/classroutine/
86,class_routine,Where can I find the CSE classroom routine?,Here you can find all the Class routine .Visit https://cse.uap-bd.edu/routine/classroutine/
,class_routine,Classroom Routine ?,Here you can find all the Class routine .Visit https://cse.uap-bd.edu/routine/classroutine/
87,class_routine,class routine,Here you can find all the Class routine .Visit https://cse.uap-bd.edu/routine/classroutine/
88,dept_academic_calender,Where can I find an education calendar?,Here you can find the academic Calendar .Visit https://cse.uap-bd.edu/routine/academic/
89,dept_academic_calender,How do I find an academic calendar?,Here you can find the academic Calendar .Visit https://cse.uap-bd.edu/routine/academic/
90,dept_academic_calender,Where can I get an educational calendar?,Here you can find the academic Calendar .Visit https://cse.uap-bd.edu/routine/academic/
91,dept_academic_calender,academic calendar ?,Here you can find the academic Calendar .Visit https://cse.uap-bd.edu/routine/academic/
92,dept_academic_calender,calendar,Here you can find the academic Calendar .Visit https://cse.uap-bd.edu/routine/academic/
93,dept_notice,Where can I find a notice board?,Here you can find the Notice Board .Visit  https://cse.uap-bd.edu/noticeboard/notice/
94,dept_notice,Notice board ?,Here you can find the Notice Board .Visit https://cse.uap-bd.edu/noticeboard/notice/
95,dept_notice,Notice ?,Here you can find the Notice Board .Visit  https://cse.uap-bd.edu/noticeboard/notice/
96,,,
97,club_s&h,What about Software & Hardware Club?,"The only devoted club for the betterment of students of CSE, UAP Software and Hardware Club. This club directly works for student's advancement in the hardware and software sectors. We conduct different sorts of events by those students who practice their software and hardware skills. Visit https://snhclub.org/"
98,club_s&h,What is Software & Hardware Club ?,"The only devoted club for the betterment of students of CSE, UAP Software and Hardware Club. This club directly works for student's advancement in the hardware and software sectors. We conduct different sorts of events by those students who practice their software and hardware skills. Visit https://snhclub.org/"
99,club_s&h,About Software & Hardware Club?,"The only devoted club for the betterment of students of CSE, UAP Software and Hardware Club. This club directly works for student's advancement in the hardware and software sectors. We conduct different sorts of events by those students who practice their software and hardware skills. Visit https://snhclub.org/"
100,club_s&h,Software & Hardware Club,"The only devoted club for the betterment of students of CSE, UAP Software and Hardware Club. This club directly works for student's advancement in the hardware and software sectors. We conduct different sorts of events by those students who practice their software and hardware skills. Visit https://snhclub.org/"
101,,,
102,club_pcc,What about Programming Contest Club?,Programming Contest Club is most expensive club in UAP. Visit for more details https://cse.uap-bd.edu/clubs/club/Programming%20Contest%20Club
103,club_pcc,What is Programming Contest Club ?,Programming Contest Club is most expensive club in UAP. Visit for more details https://cse.uap-bd.edu/clubs/club/Programming%20Contest%20Club
104,club_pcc,About Programming Contest Club?,Programming Contest Club is most expensive club in UAP. Visit for more details https://cse.uap-bd.edu/clubs/club/Programming%20Contest%20Club
105,club_pcc,Programming Contest Club,Programming Contest Club is most expensive club in UAP. Visit for more details https://cse.uap-bd.edu/clubs/club/Programming%20Contest%20Club
106,,,
107,club_fpc,What about Film & Photography Club?,"FPC has been inaugurated in 27 March, 2017. This club is created to give a platform to the students who are interested in photography and film making.visit https://fpccse.tk/"
108,club_fpc,What is Film & Photography Club ?,"FPC has been inaugurated in 27 March, 2017. This club is created to give a platform to the students who are interested in photography and film making.visit https://fpccse.tk/"
109,club_fpc,About Film & Photography Club?,"FPC has been inaugurated in 27 March, 2017. This club is created to give a platform to the students who are interested in photography and film making.visit https://fpccse.tk/"
110,club_fpc,Film & Photography Club,"FPC has been inaugurated in 27 March, 2017. This club is created to give a platform to the students who are interested in photography and film making.visit https://fpccse.tk/"
111,,,
112,club_cdc,What about Career Development Club?,"Every semester, this club organizes different seminars and workshops to help the students prepare themselves for the future professional life which they are going to choose. https://cse.uap-bd.edu/clubs/club/Career%20Development%20Club"
113,club_cdc,What is Career Development Club ?,"Every semester, this club organizes different seminars and workshops to help the students prepare themselves for the future professional life which they are going to choose.https://cse.uap-bd.edu/clubs/club/Career%20Development%20Club"
114,club_cdc,About Career Development Club?,"Every semester, this club organizes different seminars and workshops to help the students prepare themselves for the future professional life which they are going to choose.https://cse.uap-bd.edu/clubs/club/Career%20Development%20Club"
115,club_cdc,Career Development Club,"Every semester, this club organizes different seminars and workshops to help the students prepare themselves for the future professional life which they are going to choose.https://cse.uap-bd.edu/clubs/club/Career%20Development%20Club"
116,,,
117,culb_ccc,What about CSE Cultural Club?,"The Cultural Club is formed with the aim to create an environment of creativity and cultural prospects in dept. of CSE, University of Asia Pacific. It arranges different cultural programs to improve communication, creativity, patriotism and different skills of the students. visit https://www.cseculturalclub.ga/"
118,culb_ccc,What is CSE Cultural Club ?,"The Cultural Club is formed with the aim to create an environment of creativity and cultural prospects in dept. of CSE, University of Asia Pacific. It arranges different cultural programs to improve communication, creativity, patriotism and different skills of the students. visit https://www.cseculturalclub.ga/"
119,culb_ccc,About CSE Cultural Club?,"The Cultural Club is formed with the aim to create an environment of creativity and cultural prospects in dept. of CSE, University of Asia Pacific. It arranges different cultural programs to improve communication, creativity, patriotism and different skills of the students. visit https://www.cseculturalclub.ga/"
120,culb_ccc,CSE Cultural Club,"The Cultural Club is formed with the aim to create an environment of creativity and cultural prospects in dept. of CSE, University of Asia Pacific. It arranges different cultural programs to improve communication, creativity, patriotism and different skills of the students. visit https://www.cseculturalclub.ga/"
121,,,
122,club_mc,What about Math Club?,Math Club deals with the competitive mathematical problem solving. Members of this club will be guided and inspired for mathematics competition and programming contest.https://cse.uap-bd.edu/clubs/club/Math%20Club
123,club_mc,What is Math Club ?,Math Club deals with the competitive mathematical problem solving. Members of this club will be guided and inspired for mathematics competition and programming contest.https://cse.uap-bd.edu/clubs/club/Math%20Club
124,club_mc,About Math Club?,Math Club deals with the competitive mathematical problem solving. Members of this club will be guided and inspired for mathematics competition and programming contest.https://cse.uap-bd.edu/clubs/club/Math%20Club
125,club_mc,Math Club,Math Club deals with the competitive mathematical problem solving. Members of this club will be guided and inspired for mathematics competition and programming contest.https://cse.uap-bd.edu/clubs/club/Math%20Club
126,,,
127,club_sc,What about Math Club?,We (Sports Club) manage and organise various sports Events for our Department. Our Activities are- * Badminton Tournament * Cricket Tournament * Indoor Sports Tournament * Gaming Tournament * Football Tournament visit https://cse.uap-bd.edu/clubs/club/Sports%20Club
128,club_sc,What is Math Club ?,We (Sports Club) manage and organise various sports Events for our Department. Our Activities are- * Badminton Tournament * Cricket Tournament * Indoor Sports Tournament * Gaming Tournament * Football Tournament visit https://cse.uap-bd.edu/clubs/club/Sports%20Club
129,club_sc,About Math Club?,We (Sports Club) manage and organise various sports Events for our Department. Our Activities are- * Badminton Tournament * Cricket Tournament * Indoor Sports Tournament * Gaming Tournament * Football Tournament visit https://cse.uap-bd.edu/clubs/club/Sports%20Club
130,club_sc,Math Club,We (Sports Club) manage and organise various sports Events for our Department. Our Activities are- * Badminton Tournament * Cricket Tournament * Indoor Sports Tournament * Gaming Tournament * Football Tournament visit https://cse.uap-bd.edu/clubs/club/Sports%20Club
131,,,
132,club_csc,What about Cyber Security Club?,UAP Cyber Security Club aims to develop students’ skills in cyber security. UAP Cyber Security club conduct training programs for students to prepare them to develop different attractive Cyber Security projects. visit https://cse.uap-bd.edu/clubs/club/Cyber%20Security%20Club
133,club_csc,What is Cyber Security Club ?,UAP Cyber Security Club aims to develop students’ skills in cyber security. UAP Cyber Security club conduct training programs for students to prepare them to develop different attractive Cyber Security projects. visit https://cse.uap-bd.edu/clubs/club/Cyber%20Security%20Club
134,club_csc,About Cyber Security Club?,UAP Cyber Security Club aims to develop students’ skills in cyber security. UAP Cyber Security club conduct training programs for students to prepare them to develop different attractive Cyber Security projects. visit https://cse.uap-bd.edu/clubs/club/Cyber%20Security%20Club
135,club_csc,Cyber Security Club,UAP Cyber Security Club aims to develop students’ skills in cyber security. UAP Cyber Security club conduct training programs for students to prepare them to develop different attractive Cyber Security projects. visit https://cse.uap-bd.edu/clubs/club/Cyber%20Security%20Club
136,,,
137,bsc_curriculum,How can i find bsc curriculum,Here you can find the BSc Curriculum .Visit https://cse.uap-bd.edu/academic/curriculum_bsc_new/
